Customer_ID,Loan_Amount,Customer_Vintage,No_of_MFIs,Category,Region,Income,Credit_Score,CREATED_TS,Final_Status
59,218261,1,5,Unique,West,21632,677,2025-01-03 10:00:00,Rejected
60,250181,7,3,Unique,East,10777,599,2025-01-03 11:00:00,Rejected
61,181829,7,5,CAGL+1,East,43138,556,2025-01-03 12:00:00,Rejected
62,281836,4,3,CAGL+1,East,26485,609,2025-01-03 13:00:00,Approved
63,212283,4,2,Unique,North,62394,617,2025-01-03 14:00:00,Approved
64,206769,3,4,Unique,South,65540,628,2025-01-03 15:00:00,Rejected
65,47065,0,4,Others,West,14684,700,2025-01-03 16:00:00,Approved
66,233165,0,2,Unique,West,29146,657,2025-01-03 17:00:00,Approved
67,109299,5,3,CAGL+1,South,17138,781,2025-01-03 18:00:00,Rejected
68,21534,3,5,Unique,North,59630,699,2025-01-03 19:00:00,Approved
69,50397,3,1,Unique,North,17626,676,2025-01-03 20:00:00,Approved
70,267750,2,3,CAGL+1,West,50882,781,2025-01-03 21:00:00,Approved
71,273160,8,2,CAGL+1,South,64958,620,2025-01-03 22:00:00,Approved
72,65591,2,4,CAGL+2,South,76310,599,2025-01-03 23:00:00,Rejected
73,230884,7,4,Unique,South,74511,759,2025-01-04 00:00:00,Rejected
74,33247,1,3,CAGL+2,South,36022,651,2025-01-04 01:00:00,Approved
75,34300,3,5,CAGL+1,East,28787,638,2025-01-04 02:00:00,Approved
76,92798,0,2,CAGL+1,East,49665,597,2025-01-04 03:00:00,Rejected
77,19268,4,2,Unique,West,13253,564,2025-01-04 04:00:00,Rejected
78,284329,1,5,CAGL+2,South,37909,799,2025-01-04 05:00:00,Rejected
79,204776,0,5,Unique,East,78564,683,2025-01-04 06:00:00,Rejected
80,227851,0,3,CAGL+2,South,72528,786,2025-01-04 07:00:00,Approved
81,246584,1,3,Unique,North,40721,608,2025-01-04 08:00:00,Approved
82,48044,4,4,Others,West,76114,782,2025-01-04 09:00:00,Approved
83,58984,8,4,CAGL+1,East,18294,753,2025-01-04 10:00:00,Approved
84,274712,5,5,Others,East,75249,629,2025-01-04 11:00:00,Rejected
85,130151,3,1,CAGL+1,North,27677,703,2025-01-04 12:00:00,Approved
86,143767,2,1,Unique,West,73736,716,2025-01-04 13:00:00,Approved
87,134375,7,1,Unique,South,47208,621,2025-01-04 14:00:00,Approved
88,189262,2,2,Unique,East,33524,704,2025-01-04 15:00:00,Rejected
89,146330,0,3,CAGL+1,East,28404,768,2025-01-04 16:00:00,Approved
90,174231,3,5,CAGL+2,East,61406,664,2025-01-04 17:00:00,Rejected
91,23986,4,4,Unique,South,55608,793,2025-01-04 18:00:00,Rejected
92,71858,4,1,Unique,East,79881,675,2025-01-04 19:00:00,Approved
93,139312,4,4,CAGL+1,North,66961,742,2025-01-04 20:00:00,Approved
94,22666,7,3,Unique,West,77196,720,2025-01-04 21:00:00,Approved
95,144633,7,5,Unique,East,62569,718,2025-01-04 22:00:00,Approved
96,298998,3,1,Unique,West,56481,738,2025-01-04 23:00:00,Approved
97,114488,8,1,Others,North,57633,786,2025-01-05 00:00:00,Approved
98,193323,0,5,Unique,West,65442,581,2025-01-05 01:00:00,Rejected
99,294806,4,4,Others,North,22122,552,2025-01-05 02:00:00,Rejected
100,280536,4,3,Unique,West,71332,771,2025-01-05 03:00:00,Approved
101,40535,4,3,Unique,South,14310,738,2025-01-05 04:00:00,Approved
102,87373,7,3,CAGL+2,South,38605,694,2025-01-05 05:00:00,Approved
103,133684,8,4,Unique,West,36794,686,2025-01-05 06:00:00,Approved
104,283109,2,4,Others,East,17006,734,2025-01-05 07:00:00,Rejected
105,34538,8,1,CAGL+1,West,29769,663,2025-01-05 08:00:00,Approved
106,211664,7,4,CAGL+1,North,13106,597,2025-01-05 09:00:00,Rejected
107,149182,2,2,Others,West,68142,556,2025-01-05 10:00:00,Rejected
108,168338,1,5,Unique,North,28252,581,2025-01-05 11:00:00,Rejected
109,194064,3,4,Others,South,30713,642,2025-01-05 12:00:00,Rejected
110,224020,1,3,CAGL+1,East,33762,607,2025-01-05 13:00:00,Approved
111,108806,3,4,CAGL+2,East,18329,759,2025-01-05 14:00:00,Approved
112,100982,4,1,CAGL+1,North,76095,660,2025-01-05 15:00:00,Approved
113,131626,1,5,CAGL+1,East,32782,682,2025-01-05 16:00:00,Approved
114,129176,7,5,Unique,West,52815,647,2025-01-05 17:00:00,Approved
115,228126,0,3,Unique,East,48254,588,2025-01-05 18:00:00,Rejected
116,228969,2,5,Unique,West,40375,692,2025-01-05 19:00:00,Rejected
117,132409,6,2,Unique,North,59900,663,2025-01-05 20:00:00,Approved
118,33419,9,5,CAGL+2,West,73272,619,2025-01-05 21:00:00,Approved
119,263618,0,3,CAGL+2,South,15593,781,2025-01-05 22:00:00,Approved
120,255310,1,5,CAGL+1,West,33342,657,2025-01-05 23:00:00,Rejected
121,60015,2,4,CAGL+1,East,34746,581,2025-01-06 00:00:00,Rejected
122,258550,1,1,CAGL+1,South,69199,730,2025-01-06 01:00:00,Approved
123,132096,1,4,CAGL+1,East,38558,736,2025-01-06 02:00:00,Approved
124,117059,5,2,CAGL+2,South,61228,680,2025-01-06 03:00:00,Approved
125,195340,6,2,CAGL+2,East,59692,702,2025-01-06 04:00:00,Approved
126,120687,5,1,Unique,East,51166,606,2025-01-06 05:00:00,Approved
127,221428,5,1,Unique,East,60659,780,2025-01-06 06:00:00,Approved
128,115878,8,1,CAGL+1,East,40159,600,2025-01-06 07:00:00,Rejected
129,212982,7,1,CAGL+2,West,58929,566,2025-01-06 08:00:00,Rejected
130,208286,7,5,CAGL+1,West,60622,799,2025-01-06 09:00:00,Rejected
131,259002,5,4,CAGL+1,East,31639,724,2025-01-06 10:00:00,Rejected
132,260396,4,2,CAGL+1,North,50564,675,2025-01-06 11:00:00,Approved
133,174899,8,5,Unique,East,36711,560,2025-01-06 12:00:00,Rejected
134,53585,1,1,CAGL+1,North,76706,712,2025-01-06 13:00:00,Approved
135,74044,6,3,CAGL+1,East,78682,683,2025-01-06 14:00:00,Approved
136,119556,5,3,CAGL+2,South,57184,702,2025-01-06 15:00:00,Approved
137,12693,6,4,CAGL+1,West,23467,694,2025-01-06 16:00:00,Approved
138,253307,3,2,Others,South,64551,732,2025-01-06 17:00:00,Approved
139,210235,8,2,Unique,South,46005,655,2025-01-06 18:00:00,Approved
140,35939,6,4,CAGL+2,West,40923,707,2025-01-06 19:00:00,Rejected
141,162906,1,1,CAGL+2,West,36398,559,2025-01-06 20:00:00,Rejected
142,28047,3,1,Unique,North,43734,705,2025-01-06 21:00:00,Approved
143,298249,4,2,CAGL+1,North,61074,744,2025-01-06 22:00:00,Approved
144,85766,1,2,CAGL+1,South,18935,732,2025-01-06 23:00:00,Approved
145,54262,9,2,Unique,North,52754,759,2025-01-07 00:00:00,Approved
146,295920,7,1,CAGL+2,South,76332,629,2025-01-07 01:00:00,Rejected
147,171152,0,3,Others,East,57211,783,2025-01-07 02:00:00,Approved
148,138376,2,4,Unique,East,36412,677,2025-01-07 03:00:00,Approved
149,147848,0,4,Others,East,26276,799,2025-01-07 04:00:00,Approved
150,102787,4,5,Unique,West,66565,703,2025-01-07 05:00:00,Approved
151,137948,7,5,Unique,East,65001,760,2025-01-07 06:00:00,Approved
152,65016,6,3,Unique,North,42591,630,2025-01-07 07:00:00,Approved
153,31959,8,2,Unique,South,65833,590,2025-01-07 08:00:00,Rejected
154,146602,1,3,Unique,North,68089,610,2025-01-07 09:00:00,Rejected
155,235928,7,5,CAGL+2,South,51574,670,2025-01-07 10:00:00,Rejected
156,275892,7,5,Unique,East,30603,734,2025-01-07 11:00:00,Rejected
157,238576,5,4,CAGL+1,West,38821,594,2025-01-07 12:00:00,Rejected
158,23545,2,3,CAGL+1,South,65679,577,2025-01-07 13:00:00,Rejected
159,175838,1,1,Unique,North,75513,697,2025-01-07 14:00:00,Approved
160,71087,7,5,Unique,South,45519,587,2025-01-07 15:00:00,Rejected
161,78840,5,4,Unique,East,25314,643,2025-01-07 16:00:00,Approved
162,128451,3,2,Unique,West,41467,690,2025-01-07 17:00:00,Approved
163,49353,4,3,CAGL+1,North,30142,690,2025-01-07 18:00:00,Approved
164,203075,4,5,Unique,North,66147,581,2025-01-07 19:00:00,Rejected
165,224283,8,1,Unique,South,29503,640,2025-01-07 20:00:00,Approved
166,75318,8,5,Unique,East,67110,700,2025-01-07 21:00:00,Approved
167,251025,7,1,CAGL+1,South,21604,604,2025-01-07 22:00:00,Approved
168,77172,7,3,CAGL+1,North,62190,714,2025-01-07 23:00:00,Rejected
169,226688,1,1,Unique,South,77972,645,2025-01-08 00:00:00,Approved
170,266951,2,1,CAGL+2,South,14650,693,2025-01-08 01:00:00,Approved
171,103264,7,4,CAGL+1,East,53108,560,2025-01-08 02:00:00,Rejected
172,256458,4,3,Unique,South,18731,633,2025-01-08 03:00:00,Approved
173,298880,6,5,CAGL+2,West,27993,560,2025-01-08 04:00:00,Rejected
174,235281,7,2,Unique,East,49661,662,2025-01-08 05:00:00,Approved
175,122859,5,3,Unique,South,64125,702,2025-01-08 06:00:00,Approved
176,279536,4,3,CAGL+2,East,46017,658,2025-01-08 07:00:00,Approved
177,267426,7,2,CAGL+2,North,15587,585,2025-01-08 08:00:00,Rejected
178,187789,0,5,CAGL+2,East,62266,787,2025-01-08 09:00:00,Rejected
179,228164,0,4,CAGL+1,East,78440,722,2025-01-08 10:00:00,Rejected
180,135657,0,5,Unique,West,47608,601,2025-01-08 11:00:00,Approved
181,245167,2,2,CAGL+2,West,16260,712,2025-01-08 12:00:00,Approved
182,167381,9,5,Unique,South,29434,574,2025-01-08 13:00:00,Rejected
183,204806,5,3,Others,West,46318,679,2025-01-08 14:00:00,Approved
184,80467,5,4,Unique,South,23000,727,2025-01-08 15:00:00,Approved
185,193734,4,1,Unique,North,71478,576,2025-01-08 16:00:00,Rejected
186,108506,6,5,Unique,West,54192,727,2025-01-08 17:00:00,Approved
187,119751,4,1,CAGL+1,East,71155,585,2025-01-08 18:00:00,Rejected
188,297486,1,4,Unique,North,24506,696,2025-01-08 19:00:00,Rejected
189,178229,3,1,CAGL+1,South,25104,655,2025-01-08 20:00:00,Approved
190,116081,0,5,Unique,East,36317,575,2025-01-08 21:00:00,Rejected
191,99045,6,2,Unique,West,46176,710,2025-01-08 22:00:00,Approved
192,44698,3,3,Unique,North,36199,681,2025-01-08 23:00:00,Approved
193,120078,3,3,Unique,South,72192,743,2025-01-09 00:00:00,Approved
194,32671,3,1,CAGL+1,South,77016,707,2025-01-09 01:00:00,Approved
195,96202,2,3,CAGL+2,West,63393,750,2025-01-09 02:00:00,Approved
196,61663,7,3,CAGL+1,West,52232,782,2025-01-09 03:00:00,Approved
197,25708,3,2,CAGL+2,North,53818,615,2025-01-09 04:00:00,Approved
198,143883,7,1,Unique,East,61587,733,2025-01-09 05:00:00,Approved
199,122547,8,2,Unique,North,51514,770,2025-01-09 06:00:00,Rejected
200,44754,0,2,Others,South,56238,795,2025-01-09 07:00:00,Approved
201,236814,3,4,Unique,East,13546,559,2025-01-09 08:00:00,Rejected
202,247714,5,1,CAGL+1,East,21752,717,2025-01-09 09:00:00,Rejected
203,152483,7,2,CAGL+1,North,15144,621,2025-01-09 10:00:00,Rejected
204,143983,5,5,CAGL+1,South,47079,606,2025-01-09 11:00:00,Approved
205,224835,5,3,CAGL+2,North,48740,598,2025-01-09 12:00:00,Rejected
206,94896,9,1,CAGL+2,North,54304,743,2025-01-09 13:00:00,Approved
207,81295,3,4,Others,South,57041,642,2025-01-09 14:00:00,Approved
208,229686,8,2,CAGL+1,East,40221,568,2025-01-09 15:00:00,Rejected
209,283255,6,5,Others,West,73347,698,2025-01-09 16:00:00,Rejected
210,142874,5,3,CAGL+1,East,60243,749,2025-01-09 17:00:00,Rejected
211,18155,0,3,Unique,North,14976,605,2025-01-09 18:00:00,Approved
212,57254,1,5,Unique,East,66977,789,2025-01-09 19:00:00,Approved
213,294062,5,1,Unique,West,47402,738,2025-01-09 20:00:00,Approved
214,95981,0,3,CAGL+2,South,48056,786,2025-01-09 21:00:00,Rejected
215,40306,4,3,Unique,East,42724,701,2025-01-09 22:00:00,Approved
216,157718,0,3,Unique,West,15469,773,2025-01-09 23:00:00,Approved
217,130975,2,2,Others,South,21273,692,2025-01-10 00:00:00,Approved
218,117512,6,2,CAGL+2,West,48440,555,2025-01-10 01:00:00,Rejected
219,157443,4,3,CAGL+1,West,28019,759,2025-01-10 02:00:00,Approved
220,143121,9,4,Unique,West,37654,592,2025-01-10 03:00:00,Rejected
221,172688,0,3,Unique,East,10676,626,2025-01-10 04:00:00,Approved
222,293076,0,1,Unique,North,51187,746,2025-01-10 05:00:00,Approved
223,127796,7,4,Unique,West,39617,593,2025-01-10 06:00:00,Rejected
224,202506,8,1,CAGL+1,South,56455,658,2025-01-10 07:00:00,Approved
225,184088,6,5,Unique,South,73606,677,2025-01-10 08:00:00,Rejected
226,279544,2,5,Unique,South,78851,629,2025-01-10 09:00:00,Rejected
227,183714,5,2,Unique,East,25030,569,2025-01-10 10:00:00,Rejected
228,25151,2,2,CAGL+1,North,26648,552,2025-01-10 11:00:00,Rejected
229,76690,9,2,CAGL+2,East,49838,682,2025-01-10 12:00:00,Approved
230,14499,3,5,CAGL+2,West,60644,652,2025-01-10 13:00:00,Approved
231,16295,3,1,Unique,North,68001,718,2025-01-10 14:00:00,Approved
232,284327,2,4,CAGL+1,South,31427,751,2025-01-10 15:00:00,Rejected
233,153946,9,2,Unique,East,50093,758,2025-01-10 16:00:00,Approved
234,42711,5,5,Others,South,18586,708,2025-01-10 17:00:00,Rejected
235,277683,4,2,CAGL+1,East,16809,643,2025-01-10 18:00:00,Approved
236,194423,8,3,Unique,West,37859,627,2025-01-10 19:00:00,Rejected
237,189426,8,4,CAGL+1,North,69096,755,2025-01-10 20:00:00,Rejected
238,143629,2,1,Unique,North,62873,724,2025-01-10 21:00:00,Rejected
239,223090,8,2,CAGL+1,South,70696,642,2025-01-10 22:00:00,Approved
240,143272,2,3,CAGL+2,North,72935,746,2025-01-10 23:00:00,Approved
241,253548,3,3,CAGL+1,West,11698,553,2025-01-11 00:00:00,Rejected
242,188047,0,4,Others,East,35139,645,2025-01-11 01:00:00,Rejected
243,293501,4,5,Unique,East,69888,704,2025-01-11 02:00:00,Rejected
244,129121,8,5,Unique,South,54244,646,2025-01-11 03:00:00,Approved
245,87505,1,2,CAGL+2,West,27291,757,2025-01-11 04:00:00,Approved
246,12869,3,2,Unique,South,65282,748,2025-01-11 05:00:00,Approved
247,267186,9,5,Unique,South,65558,754,2025-01-11 06:00:00,Rejected
248,122296,1,1,CAGL+1,West,61910,663,2025-01-11 07:00:00,Approved
249,104179,7,1,CAGL+2,South,18276,671,2025-01-11 08:00:00,Rejected
250,100272,8,3,CAGL+1,East,20804,764,2025-01-11 09:00:00,Approved
251,48467,2,4,Others,South,23648,620,2025-01-11 10:00:00,Approved
252,295472,8,1,CAGL+1,North,11603,587,2025-01-11 11:00:00,Rejected
253,145059,5,2,CAGL+2,North,16316,782,2025-01-11 12:00:00,Approved
254,68871,5,1,Others,North,39296,757,2025-01-11 13:00:00,Approved
255,138391,6,4,CAGL+1,West,20183,636,2025-01-11 14:00:00,Approved
256,96416,4,2,CAGL+2,North,22561,781,2025-01-11 15:00:00,Approved
257,266687,5,4,Unique,West,55615,777,2025-01-11 16:00:00,Rejected
258,211163,0,5,CAGL+1,South,41528,633,2025-01-11 17:00:00,Rejected
259,117450,2,4,Others,East,74318,700,2025-01-11 18:00:00,Approved
260,181890,8,4,CAGL+2,North,50604,597,2025-01-11 19:00:00,Rejected
261,291974,4,4,Unique,West,42016,755,2025-01-11 20:00:00,Rejected
262,126381,4,2,Unique,North,42647,585,2025-01-11 21:00:00,Rejected
263,57333,7,4,CAGL+2,West,21943,595,2025-01-11 22:00:00,Rejected
264,144508,1,4,Unique,North,78732,553,2025-01-11 23:00:00,Rejected
265,215362,6,3,CAGL+2,North,19934,612,2025-01-12 00:00:00,Approved
266,160810,8,2,CAGL+2,South,75590,711,2025-01-12 01:00:00,Rejected
267,59377,6,4,Unique,North,60949,631,2025-01-12 02:00:00,Approved
268,146672,4,1,CAGL+2,West,12471,762,2025-01-12 03:00:00,Approved
269,235732,5,4,CAGL+2,North,62982,706,2025-01-12 04:00:00,Rejected
270,181836,3,1,Unique,North,28038,764,2025-01-12 05:00:00,Approved
271,215615,6,5,CAGL+1,East,63441,603,2025-01-12 06:00:00,Rejected
272,55714,0,5,CAGL+2,West,77836,758,2025-01-12 07:00:00,Approved
273,112946,3,2,Unique,East,39698,798,2025-01-12 08:00:00,Approved
274,115983,2,2,CAGL+1,North,20862,784,2025-01-12 09:00:00,Approved
275,197563,3,5,CAGL+1,East,37288,739,2025-01-12 10:00:00,Rejected
276,134123,0,2,Unique,North,76369,663,2025-01-12 11:00:00,Rejected
277,92989,1,1,Unique,North,68504,568,2025-01-12 12:00:00,Rejected
278,188274,8,1,CAGL+1,North,28618,761,2025-01-12 13:00:00,Approved
279,173707,6,3,Unique,West,46246,668,2025-01-12 14:00:00,Approved
280,275564,5,2,Unique,West,68343,706,2025-01-12 15:00:00,Approved
281,141373,1,2,Unique,North,38288,610,2025-01-12 16:00:00,Approved
282,125294,0,3,Others,South,60716,672,2025-01-12 17:00:00,Rejected
283,134019,1,4,CAGL+2,North,34070,636,2025-01-12 18:00:00,Approved
284,75726,6,1,Unique,East,77749,576,2025-01-12 19:00:00,Rejected
285,151564,1,4,Unique,South,26387,567,2025-01-12 20:00:00,Rejected
286,278246,2,3,Unique,East,79883,641,2025-01-12 21:00:00,Approved
287,191408,7,2,Unique,South,10471,795,2025-01-12 22:00:00,Approved
288,128015,6,4,CAGL+1,North,33453,558,2025-01-12 23:00:00,Rejected
289,226386,8,2,CAGL+2,West,53506,638,2025-01-13 00:00:00,Approved
290,264079,3,3,Unique,West,77849,792,2025-01-13 01:00:00,Approved
291,36641,6,5,Unique,North,35835,760,2025-01-13 02:00:00,Approved
292,175656,0,2,CAGL+1,West,15747,653,2025-01-13 03:00:00,Approved
293,173817,1,4,CAGL+1,North,64824,640,2025-01-13 04:00:00,Rejected
294,46631,6,4,Unique,North,42518,566,2025-01-13 05:00:00,Rejected
295,252289,1,3,CAGL+2,South,74992,677,2025-01-13 06:00:00,Approved
296,82991,5,4,CAGL+1,East,32277,618,2025-01-13 07:00:00,Approved
297,14014,9,1,CAGL+1,North,40037,746,2025-01-13 08:00:00,Approved
298,283237,8,2,Unique,North,36639,796,2025-01-13 09:00:00,Approved
299,28070,4,1,Unique,North,13169,782,2025-01-13 10:00:00,Approved
300,66958,9,3,Unique,West,27179,578,2025-01-13 11:00:00,Rejected
301,92074,6,1,Others,North,33442,583,2025-01-13 12:00:00,Rejected
302,20729,0,1,Unique,East,17737,589,2025-01-13 13:00:00,Rejected
303,240785,7,2,Unique,South,39289,763,2025-01-13 14:00:00,Approved
304,186089,8,2,Unique,West,30866,707,2025-01-13 15:00:00,Approved
305,207392,4,5,Unique,West,10903,577,2025-01-13 16:00:00,Rejected
306,168823,5,1,CAGL+2,West,46265,593,2025-01-13 17:00:00,Rejected
307,115864,7,2,Unique,North,31787,581,2025-01-13 18:00:00,Rejected
308,219141,3,1,CAGL+1,North,31581,586,2025-01-13 19:00:00,Rejected
309,64748,1,1,CAGL+1,East,22512,598,2025-01-13 20:00:00,Rejected
310,15801,9,3,Unique,East,30516,771,2025-01-13 21:00:00,Approved
311,160262,7,3,CAGL+2,East,54001,775,2025-01-13 22:00:00,Approved
312,245362,1,1,Unique,South,39457,611,2025-01-13 23:00:00,Approved
313,39592,4,3,Unique,West,73944,785,2025-01-14 00:00:00,Approved
314,282791,5,2,Unique,North,13601,709,2025-01-14 01:00:00,Approved
315,149788,4,1,Unique,East,11220,737,2025-01-14 02:00:00,Rejected
316,229963,5,3,CAGL+1,South,38747,714,2025-01-14 03:00:00,Rejected
317,258710,5,2,CAGL+1,South,14856,557,2025-01-14 04:00:00,Rejected
318,230984,2,1,CAGL+2,East,58751,638,2025-01-14 05:00:00,Approved
319,268067,2,1,Unique,North,65233,593,2025-01-14 06:00:00,Rejected
320,274512,8,3,CAGL+1,East,60964,668,2025-01-14 07:00:00,Approved
321,87575,2,2,Unique,East,77855,647,2025-01-14 08:00:00,Approved
322,278799,2,1,Others,East,43443,568,2025-01-14 09:00:00,Rejected
323,247549,1,1,Others,South,59250,676,2025-01-14 10:00:00,Rejected
324,80031,6,5,Unique,South,64355,670,2025-01-14 11:00:00,Approved
325,97922,9,1,CAGL+1,South,26481,573,2025-01-14 12:00:00,Rejected
326,134046,9,5,Others,South,76796,656,2025-01-14 13:00:00,Rejected
327,42097,3,5,Unique,East,79624,644,2025-01-14 14:00:00,Approved
328,152038,0,2,Unique,North,25648,571,2025-01-14 15:00:00,Rejected
329,134862,5,4,Unique,South,63932,616,2025-01-14 16:00:00,Rejected
330,240229,4,5,Unique,East,63699,742,2025-01-14 17:00:00,Rejected
331,128834,1,2,CAGL+2,West,53633,623,2025-01-14 18:00:00,Approved
332,103848,5,3,CAGL+2,West,29534,747,2025-01-14 19:00:00,Approved
333,62921,0,5,Others,South,68698,591,2025-01-14 20:00:00,Rejected
334,190798,2,4,Unique,West,13263,667,2025-01-14 21:00:00,Rejected
335,136141,3,3,Unique,North,10945,724,2025-01-14 22:00:00,Approved
336,191372,2,5,CAGL+1,East,12952,610,2025-01-14 23:00:00,Rejected
337,294821,5,5,CAGL+2,West,18235,620,2025-01-15 00:00:00,Rejected
338,65609,3,4,CAGL+1,North,36335,622,2025-01-15 01:00:00,Rejected
339,237897,0,1,Others,East,58660,710,2025-01-15 02:00:00,Approved
340,41024,4,4,Others,West,60879,733,2025-01-15 03:00:00,Rejected
341,80313,4,2,Unique,South,23367,763,2025-01-15 04:00:00,Rejected
342,194078,8,2,Unique,South,69102,626,2025-01-15 05:00:00,Approved
343,123632,7,4,Unique,West,10104,727,2025-01-15 06:00:00,Approved
344,261451,7,4,CAGL+1,South,40695,588,2025-01-15 07:00:00,Rejected
345,13051,4,4,Others,South,38625,771,2025-01-15 08:00:00,Approved
346,189819,7,4,CAGL+1,North,75237,718,2025-01-15 09:00:00,Rejected
347,97235,9,4,CAGL+2,East,79200,662,2025-01-15 10:00:00,Approved
348,207484,6,5,CAGL+1,South,62054,669,2025-01-15 11:00:00,Rejected
349,199407,0,3,Unique,West,55605,779,2025-01-15 12:00:00,Approved
350,221810,6,2,CAGL+2,South,70023,592,2025-01-15 13:00:00,Rejected
351,213687,7,2,CAGL+1,North,26027,672,2025-01-15 14:00:00,Approved
352,83523,2,3,Unique,North,77590,599,2025-01-15 15:00:00,Rejected
353,246175,8,4,CAGL+2,South,61841,708,2025-01-15 16:00:00,Rejected
354,104476,7,3,CAGL+2,West,35793,672,2025-01-15 17:00:00,Approved
355,243841,1,4,CAGL+1,West,78245,784,2025-01-15 18:00:00,Rejected
356,289163,5,2,Unique,North,54985,575,2025-01-15 19:00:00,Rejected
357,232866,3,1,Unique,West,79504,775,2025-01-15 20:00:00,Approved
